SARF,IG,CNPJ,RAZAO_SOCIAL
201200488,CNPJ,82508433000117,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN
201300175,CNPJ,00521113000132,SALVER CONSTRUTORA E INCORPORADORA LTDA
201300253,CNPJ,,CENTRAIS ELETRICAS DE SANTA CATARINA S.A.
201400175,CNPJ,50668722001916,PROACTIVA MEIO AMBIENTE BRASIL LTDA
201400176,CNPJ,50668722001916,PROACTIVA MEIO AMBIENTE BRASIL LTDA
201400207,CNPJ,02531343000108,ADSERVI ADMINISTRADORA DE SERVICOS LTDA
201400219,CNPJ,00521113000132,SALVER CONSTRUTORA E INCORPORADORA LTDA
201400253,CNPJ,79283065000141,ORBENK ADMINISTRACAO E SERVICOS LTDA
201500002,CNPJ,79283065000141,ORBENK ADMINISTRACAO E SERVICOS LTDA
201500022,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVICOS ESPECIAIS LTDA
201500024,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVICOS ESPECIAIS LTDA
201500025,CNPJ,03181576000190,EMBRASP COMERCIO E SERVICOS DE SEGURANCA LTDA
201500026,CNPJ,79283065000141,ORBENK ADMINISTRACAO E SERVICOS LTDA
201500033,CNPJ,07593524000182,BRASILRECRUTA MAO DE OBRA EIRELI
201500054,CNPJ,97542342000175,RT IMOBILIARIA LTDA - ME
201500059,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVICOS ESPECIAIS LTDA
201500122,CNPJ,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIVERSITARIA
201500135,CNPJ,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIVERSITARIA
201500178,CNPJ,72332778000109,T.O.S. OBRAS E SERVICOS AMBIENTAIS LTDA
201500202,CNPJ,04258566000179,ANTONINI INVENCOES EIRELI
201600008,CNPJ,00482840000138,LIDERANCA LIMPEZA E CONSERVACAO LTDA
201600020,CNPJ,17101531000173,MICROCABLE SERVICOS E EQUIPAMENTOS LTDA
201600031,CNPJ,02531343000108,ADSERVI ADMINISTRADORA DE SERVICOS LTDA
201600043,CNPJ,79283065000141,ORBENK ADMINISTRACAO E SERVICOS LTDA
201600045,CNPJ,77998912000129,MASTER VIGILANCIA ESPECIALIZADA LTDA
201600046,CNPJ,05497780000140,ADSERVIG VIGILANCIA LTDA
201600047,CNPJ,04629488000171,KHRONOS SEGURANCA PRIVADA LTDA
201600053,CNPJ,14546164000123,LUPA SEGURANCA LTDA
201600059,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVICOS ESPECIAIS LTDA
201600062,CNPJ,09249662000174,SETUP SERVICOS ESPECIALIZADOS LTDA
201600115,CNPJ,82949652000131,ONDREPSB LIMPEZA E SERVICOS ESPECIAIS LTDA
201600123,CNPJ,77998912000129,MASTER VIGILANCIA ESPECIALIZADA LTDA
201600125,IC1900125,09285968000186,A4 DIGITAL PRINT LTDA
201600134,CNPJ,06958015000143,SILVESTRI GUARDERIA NAUTICA LTDA
201600143,CNPJ,82895327000133,FUNDACAO DE ENSINO E ENGENHARIA DE SANTA CATARINA
202000160,CNPJ,50668722001916,PROACTIVA MEIO AMBIENTE BRASIL LTDA
